tenace,tenacious,"Dont les parties tiennent fortement ensemble , qui peut soutenir une traction , une pression considérable sans s ’ allonger , sans se rompre ."
tenace,tenacious,Dont on ne peut pas se débarrasser ; qui persiste .
turpitude,turpitude,Ignominie qui résulte de quelque action honteuse .
turpitude,turpitude,"Action honteuse , écrit ou parole ignoble ."
cisplatine,cisplatin,Complexe organométallique à base de platine .
osier,osier,"Petit saule dont les jets ou scions sont fort pliants et propres à faire des liens , des paniers ."
osier,osier,Jet ou scion de cet arbrisseau .
pacu,pacu,"Une des espèces de poissons d ’ eau douce d ’ Amérique du Sud , de la famille des characidés , proches des piranhas ."
pichet,pitcher,"Pot à anse , dont on se sert pour mettre diverses boissons ."
réalité,reality,Existence effective .
réalité,reality,"Ce qui existe effectivement , chose réelle ."
réalité,reality,par ext Ce qui est admis pour vrai .
réformateur,reformer,Relatif à des réformes .
réformateur,reformer,Celui qui participe à la Réforme ( 2 ) :
réformateur,reformer,Celui qui réforme ( 1 ) :
quitter,leave,"Laisser ’ un quelque part , se séparer de lui ."
quitter,leave,Se retirer de quelque part .
quitter,leave,"Abandonner une chose , y renoncer , cesser de s ’ y appliquer , de s ’ y adonner . Se désister de quelque chose , y renoncer ."
quitter,leave,"Sortir , s éloigner ."
sapin,fir,"Genre de conifères , grand arbre résineux souvent conique , à aiguilles persistantes courtes fixées une par une , et aux cônes dressés qui se désagrègent à maturité ."
sapin,fir,"Bois de cet arbre , ou d ’ un épicéa , utilisé en menuiserie ."
accueil,welcome,"Cérémonie ou prestation réservée à un nouvel arrivant , consistant généralement à lui souhaiter la bienvenue et à l ’ aider dans son intégration ou ses démarches ."
accueil,welcome,Lieu où sont accueillies les personnes .
accueil,welcome,Fait d ’ accueillir ou héberger .
accueil,welcome,Page d ’ accès ou d ’ accueil à un site web .
barrosa,barroso,"zootechnie Race mixte de petits taurins , originaires du Portugal , à cornes longues et à robe fauve ."
bouder,sulk,Témoigner par une certaine expression du visage ou par son silence que l ’ on est mécontent de quelque chose .
bouder,sulk,"Faire comme l enfant qui , par caprice ou mutinerie , ne veut pas manger ."
bouder,sulk,"Jeu de dominos Ne pas jouer , pour le joueur qui n ’ a pas de numéro à placer ."
bouder,sulk,"Montrer qu on est mécontent de quelque chose , de un ."
ethnologie,ethnology,"Étude critique et explication des origines , mélanges , migrations des différents peuples ."
ethnologie,ethnology,Étude des caractères sociaux et culturels des groupes humains .
lièvre,hare,"Quadrupède mammifère , à longues oreilles , qui a les pattes de derrière plus longues que celles de devant , ce qui le rend très rapide à la course ."
lièvre,hare,Variante de <concept> d ’ Europe .
lièvre,hare,La chair de cet animal .
lièvre,hare,Coureur chargé de donner un rythme soutenu lors d une course de fond ou .
phalange,knuckle,{ { métonymie
sentir,feel,"Recevoir quelque impression par le moyen des sens , éprouver en soi quelque chose d ’ agréable ou de pénible ."
sentir,feel,particulier Action qui résulte de l ’ utilisation de son odorat .
sentir,feel,particulier Action qui résulte de l ’ utilisation du toucher .
sentir,feel,"Avoir une impression , ressentir ."
terrien,landsman,Qui possède des terres .
terrien,landsman,"Relatif à la terre , à la campagne ."
terrien,landsman,Relatif à la Terre .
terrien,landsman,"Qui vit à l ’ intérieur des terres , par opposition aux côtes ."
andromaque,cowgirl,"Position sexuelle dans laquelle la femme est assise sur l ’ homme allongé , face à lui ."
aubier,sapwood,Partie de l ’ arbre tendre et blanchâtre qui est entre l ’ écorce et le duramen .
aubier,sapwood,Un des noms usuels du saule et du peuplier blanc .
aubier,sapwood,Cépage de raisin blanc .
faim,hunger,Sensation qui révèle l ’ envie ou le besoin de manger .
faim,hunger,"Le besoin de manger , ."
faim,hunger,Envie intense .
faim,hunger,Sensation qui révèle l ’ envie ou le besoin de manger . ( Sens général )
opaline,opaline,Verre à l ’ aspect blanc laiteux et aux reflets irisés .
sentier,path,"Chemin étroit au travers des champs , des bois ,"
unifier,unify,"Amener à l ’ unité , faire un tout de diverses parties , rendre uniforme ."
bouteille,bottle,"Récipient à goulot , de forme allongée , destiné à contenir un liquide ; il est souvent fait de verre ou de plastique translucide ."
bouteille,bottle,Contenu d ’ une <concept> au sens premier .
bouteille,bottle,Récipient rigide servant à stocker un gaz sous pression .
bouteille,bottle,"Couleur vert sombre , habituellement celle du verre d ’ une bouteille . #"
calcul,calculation,Opération qu ’ on effectue sur des nombres .
calcul,calculation,absolument Arithmétique .
calcul,calculation,"Moyens que l ’ on combine , mesures que l ’ on prépare pour le succès de quelque affaire ."
calcul,calculation,Cas de lithiase urinaire avec diverses espèces de concrétions pierreuses qui se forment dans le corps de l ’ homme et des animaux .
foulon,fuller,"Celui qui foule , qui apprête les draps et autres étoffes de laine ."
foulon,fuller,Appareil employé par les mégissiers pour le battage des peaux .
paon,peafowl,"Grand oiseau , de l ’ ordre des gallinacés , dont le cri est strident , qui a un beau plumage mordoré , une petite aigrette sur la tête et dont la queue se compose de longues plumes couvertes de marques de différentes couleurs en forme d ’ yeux ."
paon,peafowl,"Papillons qui ont sur leurs ailes des yeux chatoyants , à peu près semblables à ceux de la queue du paon ."
paon,peafowl,Grand oiseau de l ’ ordre des gallinacés
paroisse,parish,Division ecclésiastique où s ’ exerce le ministère d ’ un curé .
paroisse,parish,Église paroissiale .
paroisse,parish,Communauté des paroissiens .
saveur,savor,"Qualité qui est l ’ objet du goût , impression produite sur les organes du goût et de l ’ olfaction ."
saveur,savor,Vivacité ; piquant .
saveur,savor,Variété de certaines particules telles que les quarks ou les leptons .
téléphone,telephone,"Appareil utilisé par deux personnes ou plus , pour mener une conversation à distance . fixe ou mobile ."
téléphone,telephone,Service public qui assure les communications par téléphone .
téléphone,telephone,Bureau où l ’ on peut se servir du téléphone .
téléphone,telephone,Appel téléphonique .
bilingue,bilingual,Philologie Qui est en deux langues .
bilingue,bilingual,Où l on enseigne en deux langues .
bilingue,bilingual,Où l ’ on parle deux langues .
bilingue,bilingual,Qui connaît deux langues .
inode,inode,Structures de données contenant des informations concernant les fichiers stockés dans certains systèmes de fichiers .
morphologie,morphology,"Étude de la structure externe des êtres vivants qui compare leurs variétés , homologies et évolutions ."
morphologie,morphology,", Forme , structure , d un être ."
morphologie,morphology,"Constitution , aspect général ."
morphologie,morphology,"Étude de la forme des mots , comme leurs variations liées à la flexion ."
skiable,skiable,Où l on peut faire du ski .
bivalent,bivalent,"Qui a deux fonctions , deux usages ."
bivalent,bivalent,Désigne un élément chimique qui n ’ accepte que deux liaisons chimiques .
bivalent,bivalent,"Désigne un verbe qui demande deux actants , exprimés ou ."
bivalent,bivalent,"Qui ne considère que deux valeurs de vérité , le vrai et le faux ."
estragon,tarragon,"botanique , cuisine Herbe potagère odoriférante , de la famille des astéracées , dont on se sert comme assaisonnement ."
luffa,luffa,Courge d ’ Asie et d ’ Afrique de la famille des Cucurbitaceae .
scie,saw,"Outil , instrument ou machine possédant une lame dentée et dont on se sert pour scier ."
scie,saw,Lame d ’ acier vibrante sous l ’ archet et que l ’ on plie plus ou moins pour obtenir les différentes notes .
scie,saw,"Disque mince de bronze phosphoreux , utilisé pour fragmenter les diamants ."
scie,saw,Poterie Fil de fer servant à détacher une poterie du tour .
conchyliologie,conchology,Partie de l ’ histoire naturelle qui traite des coquillages de mer ou d ’ eau douce .
conchyliologie,conchology,Histoire naturelle des coquillages
couche,bed,Lit ; endroit pour dormir .
couche,bed,Ce que l ’ on fait dans un lit et ce qui en résulte .
couche,bed,au pluriel Temps pendant lequel une femme demeure au lit à cause de l ’ enfantement .
couche,bed,"Linge ou bande absorbante à l ’ usage des enfants qui n ’ ont pas encore la maîtrise de leurs fonctions naturelles , servant notamment à préserver la literie ."
célestine,celestine,Religieuse de l ’ ordre de .
célestine,celestine,Minéral composé de sulfate naturel de strontium de formule 4 .
hautbois,oboe,"Instrument à vent , de perce conique et à anche double , de sonorités très variées ."
hautbois,oboe,Des jeux de l ’ orgue .
hautbois,oboe,Tuyau mélodique d une cornemuse .
hautbois,oboe,Synonyme de sureau noir .
ibidem,ibidem,Au même endroit ; dans le même passage .
muesli,muesli,Mélange de céréales usuellement consommé au petit déjeuner .
musicien,musician,Personne qui joue ou compose de la musique .
musicien,musician,"spécialement Celui , celle qui fait profession de composer ou d ’ exécuter de la musique ."
soulier,shoe,Chaussure qui couvre tout ou seulement une partie du pied .
soulier,shoe,"Chaussure , ce qu ’ on met au pied pour se chausser ."
allotrope,allotrope,Élément chimique dans une des ses structures cristallines particulières .
apiculture,beekeeping,Domestication et élevage des abeilles dans le but d ’ en obtenir certains produits ou services .
dîner,supper,Prendre le repas du soir .
dîner,supper,", ou ou régional Prendre le repas de midi ."
dîner,supper,Repas du soir
kilovolt,kilovolt,"Unité de mesure de force électromotrice du Système international , valant 103 volts , et dont le symbole est kV ."
morula,morula,Nom du très jeune embryon dont le nombre de cellules est de huit à .
venir,come,Se rendre sur le lieu où se trouve celui qui parle ou dont on parle .
venir,come,"S ’ étendre jusqu à un point précis , atteindre une limite ."
venir,come,"Survenir , arriver , se produire inopinément , fortuitement ."
venir,come,"Se déplacer en sens inverse , quand celui qui parle invite un autre à l ’ accompagner ."
conspectus,conspectus,Tableau donnant un aperçu général .
osmose,osmosis,Échange entre deux solutions séparées par une membrane .
osmose,osmosis,"Harmonie , mariage , parfait ensemble ."
osmose,osmosis,échange entre deux solutions
policier,police,relatif à la police
draisine,draisine,"Véhicule léger , principalement utilisé pour le service des voies ferrées ."
draisine,draisine,Véhicule léger sur voie ferrée
fusée,rocket,"Quantité de fil qui est contenu sur un fuseau , quand la filasse est filée ."
fusée,rocket,Affaire embrouillée .
fusée,rocket,"Pièce de feu d ’ artifice faite avec du carton ou du papier rempli de poudre à canon . Il y en a de deux sortes : les unes très petites , qui se jettent à la main ; les autres très grandes , qui sont attachées à une baguette , et qui s ’ élèvent d ’ en l ’ air dès qu ’ on y a mis le feu ."
fusée,rocket,"Mouvement vif du sentiment , de l esprit , du cœur ,"
moyenne,average,Grandeur tenant le milieu entre plusieurs autres que l ’ on rapproche .
moyenne,average,Note qui correspond à la somme d ’ un ensemble de notes divisé par le nombre de notes .
moyenne,average,Note qui vaut la moitié de la note maximale .
moyenne,average,Grandeur tenant le milieu
prude,prudish,"Désigne une personne sage , honnête , vertueuse ."
