la,la,syllable used in solfège to represent the sixth note of a major scale
censure,décrier,"The act of blaming , criticizing , or condemning as wrong ; ."
censure,décrier,An official reprimand .
censure,décrier,Judicial or ecclesiastical sentence or reprimand ; condemnatory judgment .
censure,décrier,Judgment either favorable or unfavorable ; opinion .
violent,violent,Involving extreme force or motion .
violent,violent,Involving physical conflict .
violent,violent,Likely to use physical force .
violent,violent,Produced or effected by force ; not spontaneous ; unnatural .
manufacture,fabriquer,to create false evidences
manufacture,fabriquer,to make things
manufacture,fabriquer,to produce goods
zoo,zoo,A park where live animals are exhibited .
zoo,zoo,"Any place that is wild , crowded , or chaotic ."
zoo,zoo,<concept> park where live animals are exhibited
zoo,zoo,park where live animals are exhibited
randy,excité,Sexually aroused ; full of sexual lust .
randy,excité,Rude or coarse in manner .
mannequin,mannequin,"A dummy , or life-size model of the human body , used for the fitting or displaying of clothes"
mannequin,mannequin,"A jointed model of the human body used by artists , especially to demonstrate the arrangement of drapery"
mannequin,mannequin,An anatomical model of the human body for use in teaching of e.g. CPR
mannequin,mannequin,A person who models clothes
human,humain,id =
infrastructure,infrastructure,An underlying base or foundation especially for an organization or system .
infrastructure,infrastructure,"The basic facilities , services and installations needed for the functioning of a community or society ."
infrastructure,infrastructure,<concept> an underlying base or foundation especially for an organization or system from 1875
infrastructure,infrastructure,underlying base or foundation especially for an organization or system
fall,mourir,move to a lower position under the effect of gravity
fall,mourir,come down or descend
fall,mourir,be allotted to
fall,mourir,become or change into
lama,lama,A master of Tibetan Buddhism .
lama,lama,"paralysis , depression state of being to act"
lama,lama,"to lame , cripple"
lama,lama,"slough , bog , fen"
carol,carole,A round dance accompanied by singing .
carol,carole,A ballad or song of joy .
carol,carole,A religious or secular song sung at Christmastime .
endurance,endurance,the measure of a person s stamina or persistence
endurance,endurance,ability to endure hardship
sacrifice,sacrifice,something sacrificed
gene,gène,"A theoretical unit of heredity of living organisms ; a gene may take several values and in principle predetermines a precise trait of an organism s form , such as hair color ."
gene,gène,"A segment of DNA or RNA from a cell s or an organism s genome , that may take several forms and thus parameterizes a phenomenon , in general the structure of a protein ; locus ."
gene,gène,Something that bothers ; a nuisance .
gene,gène,unit of heredity
parking,stationnement,to park ; to bring to a halt or store in a specified place
parking,stationnement,"especially Puerto Rico , an indoor <concept> in Spain car park an area where cars may be parked"
senior,supérieur,someone older than someone else
assassin,assassin,A member of a Muslim group who employed assassination of key enemy figures as their tactic .
assassin,assassin,"Someone who intentionally kills a person , especially a professional who kills a public or political figure ."
assassin,assassin,Any ruthless killer .
portable,portable,Able to be carried or easily moved .
portable,portable,"Of software , able to be run on multiple hardware or operating systems ."
portable,portable,"A <concept> building used for temporary purposes , particularly :"
portable,portable,A trailer or other <concept> structure used for classes at a school .
development,développement,process of developing
deep,profond,"Extending far away from a point of reference , especially downwards ."
deep,profond,Extending far down from the top or surface ; having its bottom far down .
deep,profond,Far in extent in another direction away from a point of reference .
deep,profond,In a number of rows or layers .
terrible,terrible,Dreadful ; causing alarm and fear .
terrible,terrible,Intense ; extreme in degree or extent .
terrible,terrible,Very bad ; lousy .
terrible,terrible,intense ; extreme in degree or extent
cole,choux,"Brassica ; a plant of the Brassica genus , especially those of Brassica oleracea ."
cole,choux,A stack or stook of hay .
cole,choux,"A haycock , hayrick , bundle of straw ."
minuscule,minuscule,A lowercase letter .
minuscule,minuscule,Either of the two medieval handwriting styles minuscule cursive and Caroline minuscule .
minuscule,minuscule,A letter in these styles .
minuscule,minuscule,"Written in minuscules , lowercase ."
crystal,cristal,A solid composed of an array of atoms or molecules possessing long-range order and arranged in a pattern which is periodic in three dimensions .
crystal,cristal,"A piece of glimmering , shining mineral resembling ice or glass ."
crystal,cristal,"A fine type of glassware , or the material used to make it ."
crystal,cristal,The glass over the dial of a watch case .
model,modeler,create from a substance
territorial,territorial,"Of , relating to , or restricted to a specific geographic area , or territory"
territorial,territorial,Organized for home defence - such as the Territorial Army .
territorial,territorial,"of , relating to , or restricted to a specific geographic area , or territory"
break,espace,physical space that opens up in something or between two things
break,espace,"rest or pause , usually from work"
chi,qi,The twenty-second letter of the Classical and Modern Greek alphabets .
chi,qi,"life force A life force in traditional Chinese philosophy , culture , medicine , etc. related to breath and circulation ."
chi,qi,"The Chinese foot , a traditional Chinese unit of length based on the human forearm ."
chi,qi,The Chinese unit of length standardized in 1984 as 1 / 3 of a meter .
compact,compact,An agreement or contract .
